, Fort Smith  , FSA , 140 , 149 , 16 , 560 , 68 , 97 , D , 266 , 24 , 194 , -   , 623 , 21 , D , -   , 70 , 253 , 446 , 23 ," 1,519 ",,,,,,,,,,,,,,,,,,,
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
, Fresno  , FRE , 776 ," 1,445 ", 134 ," 4,177 ", 92 , 181 , D , 461 , 159 , 53 , D ," 1,607 ", 69 , 20 , D , 242 ," 1,096 "," 1,699 ", 140 ," 6,487 ",,,,,,,,,,,,,,,,,,,
, Imperial , IMP , 196 , 194 , 17 , 502 , D , 249 , 11 , 521 , D , -   , -   , 62 , D , -   , -   , 13 , 212 , 443 , 28 ," 1,098 ",,,,,,,,,,,,,,,,,,,
, Los Angeles  , LOS ," 1,537 "," 1,602 ", 334 ," 5,838 ", 404 , 859 , 89 ," 2,928 ", 153 , 152 , 13 ," 1,870 ", 255 , 66 , D , 677 ," 2,349 "," 2,679 ", 442 ," 11,313 ",,,,,,,,,,,,,,,,,,,
, Los Angeles County  , LAC ," 1,361 "," 1,495 ", 429 ," 5,001 ", 124 ," 1,289 ", 53 ," 2,757 ", 154 , 250 , 21 ," 1,520 ", 144 , 37 , 10 , 366 ," 1,783 "," 3,071 ", 513 ," 9,644 ",,,,,,,,,,,,,,,,,,,
, Sacramento  , SAC , 853 , 684 , 103 ," 5,540 ", 99 , 131 , D , 426 , 212 , 30 , D ," 1,521 ", 36 , 19 , D , 117 ," 1,200 ", 864 , 120 ," 7,604 ",,,,,,,,,,,,,,,,,,,
, San Bernardino , SBD ," 1,310 "," 1,848 ", 187 ," 4,543 ", 80 , 329 , 17 , 486 , 86 , 19 , D , 749 , 61 , 19 , D , 182 ," 1,537 "," 2,215 ", 214 ," 5,960 ",,,,,,,,,,,,,,,,,,,
, San Diego  , SND ," 1,226 "," 1,255 ", 88 ," 4,371 ", 308 , 269 , D , 925 , 63 , 17 , D , 432 , 30 , D , -   , 99 ," 1,627 "," 1,549 ", 97 ," 5,827 ",,,,,,,,,,,,,,,,,,,
, San Fernando Valley , SFV ," 1,133 "," 1,049 ", 199 ," 3,764 ", 152 , 789 , 25 ," 2,522 ", 70 , 192 , D , 763 , 108 , 33 , D , 327 ," 1,463 "," 2,063 ", 229 ," 7,376 ",,,,,,,,,,,,,,,,,,,
, San Francisco , SFR ," 1,661 "," 1,135 ", 139 ," 9,411 ", 732 , 257 , 47 ," 2,007 ", 233 , 21 , D ," 1,603 ", 113 , 46 , D , 492 ," 2,739 "," 1,459 ", 192 ," 13,513 ",,,,,,,,,,,,,,,,,,,
, San Jose  , SNJ , 995 ," 1,087 ", 97 ," 4,557 "," 1,677 ", 685 , 45 ," 4,653 ", 286 , 39 , D ," 1,815 ", 126 , 40 , D , 334 ," 3,084 "," 1,851 ", 146 ," 11,359 ",,,,,,,,,,,,,,,,,,,
, Santa Ana , SAA ," 1,089 "," 1,091 ", 140 ," 4,675 ", 318 , 218 , 39 ," 1,017 ", 99 , 27 , D , 604 , 76 , 27 , -   , 188 ," 1,582 "," 1,363 ", 180 ," 6,484 ",,,,,,,,,,,,,,,,,,,
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ," 1,178 ", 977 , 134 ," 5,059 ", 190 , 242 , 14 , 487 , 100 , 61 , 10 , 773 , 51 , 30 , D , 159 ," 1,519 "," 1,310 ", 161 ," 6,478 ",,,,,,,,,,,,,,,,,,,
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR , 906 , 627 , 121 ," 3,180 ", 272 , 142 , 13 ," 1,025 ", 45 , 152 , D , 732 , 43 , 18 , D , 145 ," 1,266 ", 939 , 141 ," 5,082 ",,,,,,,,,,,,,,,,,,,
Delaware,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
,Dover, DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
 District of Columbia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ," 1,449 ", 971 , 112 ," 6,547 ", 440 , 316 , 28 ," 1,507 ", 196 , 35 , D ," 1,172 ", 361 , 125 , D ," 1,153 "," 2,446 "," 1,447 ", 154 ," 10,379 ",,,,,,,,,,,,,,,,,,,
 Florida ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA , 782 , 652 , 102 ," 2,363 ", 139 , 719 , 29 ," 2,429 "," 1,067 "," 1,116 ", 194 ," 5,127 ", 23 , 127 , D , 102 ," 2,011 "," 2,614 ", 327 ," 10,021 ",,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC , 507 , 233 , 64 ," 2,801 ", 144 , 242 , 12 , 497 , 97 , 87 , D , 424 , 19 , D , D , 36 , 767 , 568 , 81 ," 3,758 ",,,,,,,,,,,,,,,,,,,
, Kendall , KND , 587 , 517 , 95 ," 2,215 ", 88 , 421 , 24 ," 1,557 "," 1,349 ", 858 , 235 ," 5,731 ", 12 , D , D , 52 ," 2,036 "," 1,804 ", 363 ," 9,555 ",,,,,,,,,,,,,,,,,,,
, Miami  , MIA ," 1,010 ", 867 , 184 ," 4,149 ", 231 , 443 , 31 ," 1,304 ", 739 , 351 , 53 ," 3,207 ", 33 , 28 , 16 , 146 ," 2,013 "," 1,689 ", 284 ," 8,806 ",,,,,,,,,,,,,,,,,,,
, Fort Myers , OFM , 434 , 356 , 95 ," 1,822 ", 36 , 71 , -   , 118 , 252 , 26 , 17 , 753 , 12 , 118 , D , 90 , 734 , 571 , 117 ," 2,783 ",,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ," 1,333 "," 1,125 ", 284 ," 4,532 ", 225 , 343 , 19 ," 1,189 ", 147 , 395 , 33 ," 2,748 ", 20 , 60 , 21 , 110 ," 1,725 "," 1,923 ", 357 ," 8,579 ",,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ," 1,400 "," 1,654 ", 289 ," 6,336 ", 339 , 418 , 10 ," 1,274 ", 191 , 106 , 20 ," 1,178 ", 24 , D , D , 71 ," 1,954 "," 2,179 ", 326 ," 8,859 ",,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ," 1,115 "," 1,269 ", 147 ," 4,392 ", 184 , 208 , 16 , 799 , 503 , 390 , 73 ," 1,917 ", 49 , 15 , D , 175 ," 1,851 "," 1,882 ", 240 ," 7,283 ",,,,,,,,,,,,,,,,,,,
, West Palm Beach , WPB , 897 , 870 , 150 ," 3,442 ", 140 , 401 , 13 , 623 , 203 , 460 , 32 ," 1,107 ", 34 , 42 , 12 , 140 ," 1,274 "," 1,773 ", 207 ," 5,312 ",,,,,,,,,,,,,,,,,,,
 Georgia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ," 1,851 "," 1,200 ", 377 ," 10,583 ", 667 , 374 , 45 ," 1,629 ", 146 , 92 , D ," 1,072 ", 103 , 53 , D , 461 ," 2,767 "," 1,719 ", 435 ," 13,745 ",,,,,,,,,,,,,,,,,,,
 Hawaii ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW , 227 , 325 , 48 ," 1,143 ", 24 , 128 , D , 115 , D , D , -   , 71 , D , D , -   , 16 , 261 , 461 , 55 ," 1,345 ",,,,,,,,,,,,,,,,,,,
 Idaho ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Boise  , BOI , 174 , 235 , 10 , 763 , 26 , 228 , D , 304 , 33 , 24 , D , 356 , D , -   , -   , D , 236 , 487 , 27 ," 1,432 ",,,,,,,,,,,,,,,,,,,
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ," 2,633 "," 2,179 ", 307 ," 11,927 ", 744 , 515 , 42 ," 2,212 ", 306 , 42 , 11 ," 1,534 ", 43 , 21 , D , 167 ," 3,726 "," 2,757 ", 364 ," 15,840 ",,,,,,,,,,,,,,,,,,,
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP , 595 , 496 , 102 ," 2,684 ", 139 , 369 , D , 793 , 143 , 86 , D ," 1,784 ", 30 , 15 , D , 128 , 907 , 966 , 117 ," 5,389 ",,,,,,,,,,,,,,,,,,,
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM , 217 , 238 , 31 , 658 , 170 , 152 , D , 503 , 145 , 107 , D , 834 , 16 , D , D , 89 , 548 , 503 , 48 ," 2,084 ",,,,,,,,,,,,,,,,,,,
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Wichita , WIC , 175 , 173 , 31 , 640 , 19 , 29 , D , 57 , 24 , 57 , D , 281 , D , D , D , D , 221 , 260 , 40 , 987 ,,,,,,,,,,,,,,,,,,,
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU , 277 , 252 , 54 , 870 , 119 , 228 , 12 , 398 , 214 , 249 , 23 ," 1,687 ", 59 , 22 , D , 164 , 669 , 751 , 92 ," 3,119 ",,,,,,,,,,,,,,,,,,,
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL , 379 , 352 , 63 ," 2,245 ", 113 , 81 , D , 430 , 104 , D , D , 645 , 242 , 117 , D ," 1,043 ", 838 , 559 , 74 ," 4,363 ",,,,,,,,,,,,,,,,,,,
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Portland  , POM , 81 , 124 , D , 311 , 16 , 58 , D , 155 , 23 , D , -   , 277 , 10 , D , D , 49 , 130 , 184 , D , 792 ,,,,,,,,,,,,,,,,,,,
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ," 1,636 "," 1,187 ", 262 ," 9,271 ", 461 , 150 , D ," 1,285 ", 369 , 41 , 12 ," 1,871 ", 654 , 271 , 17 ," 2,276 "," 3,120 "," 1,649 ", 297 ," 14,703 ",,,,,,,,,,,,,,,,,,,
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ," 1,455 "," 1,594 ", 210 ," 6,117 ", 687 , 504 , 11 ," 1,637 ", 121 , 282 , D ," 1,097 ", 219 , 93 , D , 630 ," 2,482 "," 2,473 ", 234 ," 9,481 ",,,,,,,,,,,,,,,,,,,
, Lawrence , LAW , 763 , 641 , 80 ," 2,382 ", 306 , 151 , 11 , 824 , 74 , 38 , -   , 890 , 47 , 15 , D , 160 ," 1,190 ", 845 , 96 ," 4,256 ",,,,,,,,,,,,,,,,,,,
 Michigan ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Detroit  , DET , 911 , 746 , 89 ," 2,904 ", 609 , 295 , 14 ," 1,380 ", 137 , 216 , D ," 1,407 ", 23 , 14 , D , 99 ," 1,680 "," 1,271 ", 112 ," 5,790 ",,,,,,,,,,,,,,,,,,,
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM , 758 , 567 , 86 ," 3,870 ", 295 , 119 , 10 , 857 , 212 , 30 , D ," 1,259 ", 56 , 66 , 20 , 318 ," 1,321 ", 782 , 123 ," 6,304 ",,,,,,,,,,,,,,,,,,,
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN , 428 , 558 , 63 ," 1,573 ", 133 , 464 , 23 , 405 , 87 , 183 , 12 ," 2,111 ", 32 , D , D , 99 , 680 ," 1,212 ", 100 ," 4,188 ",,,,,,,,,,,,,,,,,,,
, St. Louis  , STL , 232 , 259 , 18 , 914 , 260 , 273 , D , 890 , 74 , 78 , D , 506 , 20 , D , -   , 45 , 586 , 617 , 25 ," 2,355 ",,,,,,,,,,,,,,,,,,,
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Helena  , HEL , 65 , 64 , 12 , 236 , 10 , 26 , D , 60 , 16 , D , -   , 106 , D , D , -   , D , 93 , 93 , 14 , 408 ,,,,,,,,,,,,,,,,,,,
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA , 256 , 289 , 35 ," 1,334 ", 102 , 65 , D , 269 , 114 , 108 , 10 , 938 , 46 , 24 , D , 255 , 518 , 486 , 52 ," 2,796 ",,,,,,,,,,,,,,,,,,,
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG , 721 , 462 , 105 ," 3,825 ", 77 , 191 , D , 195 , 129 , 93 , 29 , 535 , 20 , 12 , D , 103 , 947 , 758 , 146 ," 4,658 ",,,,,,,,,,,,,,,,,,,
, Reno  , REN , 147 , 207 , 19 , 507 , 21 , 182 , D , 346 , D , 69 , -   , 75 , D , D , -   , 16 , 172 , 461 , 20 , 944 ,,,,,,,,,,,,,,,,,,,
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN , 130 , 151 , 20 , 420 , 65 , 108 , -   , 196 , 34 , D , -   , 343 , D , -   , -   , D , 232 , 268 , 20 , 964 ,,,,,,,,,,,,,,,,,,,
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL , 670 , 782 , 133 ," 2,536 ", 254 , 256 , 10 , 941 , 20 , 32 , D , 705 , 54 , 26 , D , 190 , 998 ," 1,096 ", 154 ," 4,372 ",,,,,,,,,,,,,,,,,,,
, Newark  , NEW ," 2,928 "," 3,215 ", 698 ," 13,541 "," 1,167 ", 939 , 71 ," 4,257 ", 181 , 136 , D ," 3,510 ", 115 , 52 , D , 445 ," 4,391 "," 4,342 ", 780 ," 21,753 ",,,,,,,,,,,,,,,,,,,
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ , 281 , 289 , 12 , 953 , 38 , 197 , D , 873 , D , 14 , D , 562 , 29 , D , D , 83 , 357 , 506 , 15 ," 2,471 ",,,,,,,,,,,,,,,,,,,
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Albany  , ALB , 150 , 204 , 46 , 763 , 93 , 192 , 20 , 409 , 21 , 29 , D , 498 , 30 , 15 , -   , 133 , 294 , 440 , 68 ," 1,803 ",,,,,,,,,,,,,,,,,,,
, Brooklyn , BNY ," 1,665 "," 1,407 ", 273 ," 10,248 ", 153 , 277 , 15 , 629 , 121 , 101 , D ," 2,459 ", 163 , 66 , 22 , 695 ," 2,102 "," 1,851 ", 316 ," 14,031 ",,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF , 335 , 397 , 48 ," 1,033 ", 149 , 430 , 16 , 649 , 109 , 120 , D ," 1,848 ", 18 , 11 , D , 59 , 611 , 958 , 68 ," 3,589 ",,,,,,,,,,,,,,,,,,,
, Long Island , LNY ," 1,027 "," 1,147 ", 139 ," 4,900 ", 149 , 205 , 13 , 710 , 89 , 65 , D ," 1,288 ", 551 , 214 , 11 ," 1,602 "," 1,816 "," 1,631 ", 168 ," 8,500 ",,,,,,,,,,,,,,,,,,,
, New York  , NYC ," 2,440 "," 1,962 ", 459 ," 9,788 ", 481 , 478 , 33 ," 1,539 ", 142 , 205 , D ," 2,689 ", 414 , 183 , 24 ," 1,187 "," 3,477 "," 2,828 ", 521 ," 15,203 ",,,,,,,,,,,,,,,,,,,
, Queens , QNS ," 1,731 "," 1,730 ", 371 ," 8,804 ", 122 , 354 , 19 , 923 , 135 , 204 , D ," 3,038 ", 233 , 75 , 23 , 762 ," 2,221 "," 2,363 ", 420 ," 13,527 ",,,,,,,,,,,,,,,,,,,
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT , 767 , 593 , 137 ," 3,329 ", 224 , 326 , 19 , 625 , 97 , 20 , D , 678 , 78 , 26 , D , 246 ," 1,166 ", 965 , 167 ," 4,878 ",,,,,,,,,,,,,,,,,,,
, Raleigh , RAL , 733 , 378 , 60 ," 3,855 ", 334 , 438 , 12 ," 1,023 ", 75 , 16 , D , 346 , 40 , 34 , D , 189 ," 1,182 ", 866 , 78 ," 5,413 ",,,,,,,,,,,,,,,,,,,
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN , 264 , 270 , 38 , 877 , 127 , 166 , 10 , 473 , 64 , 86 , D , 800 , 89 , 28 , D , 215 , 544 , 550 , 57 ," 2,365 ",,,,,,,,,,,,,,,,,,,
, Cleveland  , CLE , 350 , 318 , 47 ," 1,044 ", 163 , 219 , 14 , 700 , 68 , 129 , D , 981 , 10 , D , D , 31 , 591 , 675 , 71 ," 2,756 ",,,,,,,,,,,,,,,,,,,
, Columbus , CLM , 367 , 301 , 50 ," 1,250 ", 173 , 253 , D , 809 , 127 , 53 , D ," 1,286 ", 26 , D , D , 88 , 693 , 613 , 64 ," 3,433 ",,,,,,,,,,,,,,,,,,,
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC , 450 , 552 , 51 ," 1,675 ", 93 , 39 , -   , 324 , 61 , 20 , -   , 358 , 40 , D , -   , 63 , 644 , 618 , 51 ," 2,420 ",,,,,,,,,,,,,,,,,,,
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Portland  , POO , 581 ," 1,005 ", 67 ," 3,232 ", 195 , 85 , 13 , 534 , 136 , 27 , D , 868 , 36 , 18 , D , 48 , 948 ," 1,135 ", 90 ," 4,682 ",,,,,,,,,,,,,,,,,,,
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ," 1,714 "," 1,876 ", 269 ," 5,934 ", 556 , 364 , 12 ," 1,707 ", 226 , 179 , 18 ," 2,197 ", 147 , 119 , 22 , 592 ," 2,643 "," 2,538 ", 321 ," 10,430 ",,,,,,,,,,,,,,,,,,,
, Pittsburgh  , PIT , 250 , 315 , 29 , 962 , 262 , 169 , D , 560 , 52 , 50 , -   , 293 , 11 , D , D , 26 , 575 , 536 , 32 ," 1,841 ",,,,,,,,,,,,,,,,,,,
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Providence  , PRO , 244 , 274 , 59 ," 1,040 ", 65 , 127 , D , 319 , 15 , 150 , D , 450 , D , 14 , 11 , 83 , 333 , 565 , 79 ," 1,892 ",,,,,,,,,,,,,,,,,,,
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL , 368 , 260 , 71 ," 1,621 ", 88 , 84 , D , 226 , 19 , 41 , D , 157 , 24 , D , -   , 79 , 499 , 388 , 82 ," 2,083 ",,,,,,,,,,,,,,,,,,,
, Greer , GRR , 213 , 213 , 33 , 834 , 43 , 208 , -   , 307 , D , 187 , -   , 282 , D , D , D , 30 , 269 , 616 , 34 ," 1,453 ",,,,,,,,,,,,,,,,,,,
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM , 219 , 751 , 72 ," 1,389 ", 154 , 187 , D , 568 , 17 ," 1,019 ", 25 ," 1,163 ", 89 , 25 , -   , 255 , 479 ," 1,982 ", 99 ," 3,375 ",,,,,,,,,,,,,,,,,,,
, Nashville , NTN , 510 , 273 , 58 ," 2,431 ", 124 , 78 , D , 513 , 96 , 266 , D , 971 , 173 , 50 , D , 427 , 903 , 667 , 76 ," 4,342 ",,,,,,,,,,,,,,,,,,,
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ," 2,890 "," 3,137 ", 434 ," 14,240 "," 1,072 ", 386 , 45 ," 2,482 ", 227 , 68 , 14 ," 1,545 ", 214 , 91 , D , 706 ," 4,403 "," 3,682 ", 497 ," 18,973 ",,,,,,,,,,,,,,,,,,,
, El Paso  , ELP , 721 , 785 , 82 ," 2,502 ", 53 , 390 , D , 250 , 36 , 35 , D , 460 , D , D , -   , 17 , 812 ," 1,211 ", 92 ," 3,229 ",,,,,,,,,,,,,,,,,,,
, Harlingen  , HLG , 755 , 482 , 48 ," 2,496 ", 24 , 643 , 26 , 200 , D , 68 , D , 792 , D , -   , -   , 29 , 793 ," 1,193 ", 77 ," 3,517 ",,,,,,,,,,,,,,,,,,,
, Houston  , HOU ," 2,824 "," 2,938 ", 502 ," 15,200 ", 847 , 327 , 47 ," 1,789 ", 432 , 254 , 69 ," 1,832 ", 114 , 46 , 11 , 393 ," 4,217 "," 3,565 ", 629 ," 19,214 ",,,,,,,,,,,,,,,,,,,
