Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,
"April 1, 2023 - June 30, 2023",,,,,,,,,,,,,
,,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status
USCIS Field Office Location,USCIS Field Office Location,Naturalization1,Naturalization2,Naturalization3,Naturalization4,Naturalization (Military)1,Naturalization (Military)2,Naturalization (Military)3,Naturalization (Military)4, Total , Total , Total , Total 
Field Office by State6,Field Office Code,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
Helena ,HEL,98,89,11,200, D , D , -   , D ,101,92,11,203
Nebraska,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Omaha ,OMA,"1,126","1,370",324,"2,133",14, D , -   ,34,"1,140","1,375",324,"2,167"
Nevada,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Las Vegas ,LVG,"2,038","2,120",306,"3,732",16,35, D ,42,"2,054","2,155",313,"3,774"
Reno ,REN,326,349,28,679, D , D , -   , D ,329,354,28,682
New Hampshire,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Manchester ,MAN,420,279,51,846, D , D , -   , D ,422,282,51,852
New Jersey,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Mount Laurel,MTL,"1,958","1,493",216,"4,827",18,10, D ,45,"1,976","1,503",217,"4,872"
Newark ,NEW,"6,801","5,707","1,006","17,333",42,38, D ,115,"6,843","5,745","1,008","17,448"
New Mexico,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Albuquerque ,ABQ,443,399,18,742,18, D , D ,21,461,402,20,763
New York,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Albany ,ALB,977,701,137,"2,902",23, D , D ,26,"1,000",705,138,"2,928"
Brooklyn,BNY,"5,489","4,651",848,"11,840",31,32, D ,70,"5,520","4,683",851,"11,910"
Buffalo ,BUF,"1,670",942,183,"4,360",41,51, D ,88,"1,711",993,186,"4,448"
Long Island,LNY,"3,114","1,812",328,"7,014",32,13, D ,69,"3,146","1,825",331,"7,083"
New York ,NYC,"6,436","3,999",830,"12,718",51,46, D ,48,"6,487","4,045",833,"12,766"
Queens,QNS,"5,465","4,885",754,"13,098",43,30, D ,39,"5,508","4,915",757,"13,137"
North Carolina,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Charlotte ,CLT,"2,247","2,829",250,"6,530",13, D , D ,27,"2,260","2,835",252,"6,557"
Raleigh,RAL,"1,721","1,755",75,"5,983",186,98,15,251,"1,907","1,853",90,"6,234"
Ohio,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Cincinnati ,CIN,871,906,63,"1,426",16, D , D ,22,887,914,64,"1,448"
Cleveland ,CLE,"1,206","1,023",86,"1,927", D , D , D ,23,"1,214","1,026",88,"1,950"
Columbus,CLM,"1,478","1,929",213,"2,329",15,11, D ,40,"1,493","1,940",217,"2,369"
Oklahoma,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Oklahoma City ,OKC,"1,102","1,100",116,"1,918",220,82, D ,305,"1,322","1,182",117,"2,223"
Oregon,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Portland ,POO,"1,872","1,730",181,"3,568", D , D , D ,21,"1,878","1,738",183,"3,589"
Pennsylvania,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Philadelphia,PHI,"5,746","5,497",614,"10,348",45,40, D ,84,"5,791","5,537",621,"10,432"
Pittsburgh ,PIT,692,766,77,"1,023", D , D , D ,12,695,769,78,"1,035"
Rhode Island,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Providence ,PRO,806,507,94,"1,826", D , D , -   ,19,812,511,94,"1,845"
South Carolina,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Charleston ,CHL,722,460,82,"2,509",42,66,10,128,764,526,92,"2,637"
Greer,GRR,568,497,53,"1,073",418,155, D ,490,986,652,59,"1,563"
Tennessee,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Memphis ,MEM,614,720,57,"1,577", D , D , D ,12,617,725,58,"1,589"
Nashville,NTN,"1,459","1,333",142,"4,875",24,14, -   ,121,"1,483","1,347",142,"4,996"
Texas,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Dallas ,DAL,"7,175","7,043",637,"12,460",65,72, D ,76,"7,240","7,115",642,"12,536"
El Paso ,ELP,"1,326","1,030",91,"2,283",57,38, D ,175,"1,383","1,068",98,"2,458"
Harlingen ,HLG,808,736,72,"1,354", D , D , -   , D ,811,741,72,"1,363"
Houston ,HOU,"7,821","8,061",640,"13,267",24,34, D ,105,"7,845","8,095",645,"13,372"
San Antonio ,SNA,"3,853","4,198",283,"9,389",369,289,15,558,"4,222","4,487",298,"9,947"
Utah,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Salt Lake City ,SLC,"1,243","1,870",202,"2,699", D , D , D ,29,"1,249","1,875",203,"2,728"
Vermont,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
St. Albans ,STA,171,241,18,346, -   , D , D , D ,171,243,19,351
Virginia,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Norfolk ,NOR,"1,166","1,227",126,"4,777",236,139,17,806,"1,402","1,366",143,"5,583"
Washington,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Seattle ,SEA,"4,484","4,193",459,"9,251",54,133,20,204,"4,538","4,326",479,"9,455"
Spokane ,SPO,212,266,32,299, D , D , -   , D ,215,270,32,307
Yakima,YAK,417,535,44,682, -   , D , -   , D ,417,536,44,688
West Virginia,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Charleston ,CHS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Wisconsin,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Milwaukee ,MIL,"1,216","1,015",87,"2,613", D , D , D ,12,"1,222","1,021",88,"2,625"
Field Office by Territory7,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Guam,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Agana,AGA,157,219, D ,348, D ,104, D ,49,166,323,17,397
U.S. Virgin Islands,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Charlotte Amalie,CHA,52,67,18,128, -   , D , -   , D ,52,68,18,133
Christiansted ,CHR,32, -   , D ,35, -   , -   , -   , D ,32, -   , D ,36
Puerto Rico,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
San Juan ,SAJ,400,338,65,582, D , D , -   , D ,403,341,65,586
Table Key:,,,,,,,,,,,,,
D  Disclosure standards not met.,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,
References:,,,,,,,,,,,,,
"1 ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations, are included in ""Naturalization."" Total includes both general and military naturalization.",,,,,,,,,,,,,
2 The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
3 The number of applications approved during the reporting period.,,,,,,,,,,,,,
4 The number of applications denied during the reporting period.,,,,,,,,,,,,,
5 The number of applications awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; ,,,,,,,,,,,,,
   thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,
6 Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,
2) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,,,,
3) These counts do not include international offices.,,,,,,,,,,,,,
"4) Many USCIS international offices have permanently closed in the last two years; for a list of those offices, please see https://www.uscis.gov/about-us/uscis-office-closings",,,,,,,,,,,,,
5) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,
"PASEXEC, queried 07/2023, TRK 12293",,,,,,,,,,,,,
