,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
October 1 - December 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"82,888","69,630","11,841","376,383","27,893","33,181","1,543","154,616","21,908","33,011","1,614","89,630","9,482","5,096",987,"32,093","142,171","140,918","15,985","652,722",,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA , 775 , 961 , 102 ," 2,899 ", 141 , 216 , 11 , 984 , 868 ," 2,136 ", 93 ," 3,775 ", 16 , D , D , 65 ," 1,800 "," 3,317 ", 207 ," 7,723 ",,,,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC , 556 , 519 , 80 ," 1,344 ", 90 , 114 , D , 439 , 57 , 284 , D , 223 , D , D , -   , 18 , 709 , 918 , 92 ," 2,024 ",,,,,,,,,,,,,,,,,,,,,
, Kendall , KND , 664 , 780 , 90 ," 2,788 ", 62 , 143 , 10 , 505 , 924 ," 1,921 ", 163 ," 4,942 ", D , D , D , 78 ," 1,657 "," 2,849 ", 266 ," 8,313 ",,,,,,,,,,,,,,,,,,,,,
, Miami  , MIA ," 1,264 ", 263 , 119 ," 10,016 ", 190 , 343 , 20 ," 1,581 ", 543 , 341 , 57 ," 5,505 ", 10 , D , -   , 184 ," 2,007 ", 949 , 196 ," 17,286 ",,,,,,,,,,,,,,,,,,,,,
, Fort Myers , OFM , 469 , 263 , 67 ," 2,473 ", D , 52 , D , 96 , 218 , 223 , 18 ," 1,706 ", D , D , -   , 12 , 696 , 543 , 86 ," 4,287 ",,,,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ," 1,577 ", 885 , 240 ," 10,806 ", 114 , 305 , 10 , 888 , 107 , 242 , 23 ," 1,057 ", 17 , -   , D , 63 ," 1,815 "," 1,432 ", 281 ," 12,814 ",,,,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ," 1,537 "," 1,575 ", 313 ," 6,860 ", 197 , 272 , 27 ," 1,073 ", 128 , 439 , 22 , 737 , 13 , D , D , 50 ," 1,875 "," 2,288 ", 365 ," 8,720 ",,,,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ," 1,163 ", 995 , 144 ," 3,217 ", 125 , 157 , 14 , 578 , 367 ," 1,160 ", 47 ," 1,412 ", 24 , D , D , 66 ," 1,679 "," 2,320 ", 206 ," 5,273 ",,,,,,,,,,,,,,,,,,,,,
, West Palm Beach , WPB ," 1,175 "," 1,233 ", 272 ," 4,486 ", 76 , 152 , D , 423 , 175 , 494 , 19 , 796 , D , D , D , 34 ," 1,430 "," 1,885 ", 300 ," 5,739 ",,,,,,,,,,,,,,,,,,,,,
Georgia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ," 2,121 "," 1,773 ", 287 ," 10,783 ", 383 , 793 , 15 ," 2,658 ", 33 , 517 , 35 , 531 , 30 , D , D , 118 ," 2,567 "," 3,091 ", 343 ," 14,090 ",,,,,,,,,,,,,,,,,,,,,
Hawaii,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW , 331 , 328 , 59 ," 1,192 ", 57 , 70 , D , 167 , -   , D , -   , 13 , D , D , D , D , 390 , 400 , 67 ," 1,377 ",,,,,,,,,,,,,,,,,,,,,
Idaho,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI , 211 , 467 , 48 , 684 , 44 , 64 , D , 160 , D , 30 , D , 31 , D , D , -   , D , 262 , 562 , 56 , 879 ,,,,,,,,,,,,,,,,,,,,,
Illinois,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ," 3,264 "," 2,037 ", 337 ," 15,497 ", 594 ," 1,118 ", 29 ," 3,448 ", 16 , 53 , 12 , 263 , 22 , 11 , D , 82 ," 3,896 "," 3,219 ", 379 ," 19,290 ",,,,,,,,,,,,,,,,,,,,,
Indiana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP , 636 , 520 , 68 ," 2,024 ", 128 , 219 , D , 770 , 19 , 25 , D , 150 , D , D , -   , 34 , 788 , 766 , 77 ," 2,978 ",,,,,,,,,,,,,,,,,,,,,
Iowa,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM , 204 , 249 , 35 , 932 , 83 , 137 , D , 317 , 13 , 12 , D , 70 , D , D , D , 18 , 308 , 399 , 45 ," 1,337 ",,,,,,,,,,,,,,,,,,,,,
Kansas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC , 218 , 217 , 13 , 749 , 20 , 19 , D , 98 , D , 24 , D , 28 , D , -   , -   , 13 , 243 , 260 , 18 , 888 ,,,,,,,,,,,,,,,,,,,,,
Kentucky,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU , 289 , 215 , 55 , 936 , 58 , 105 , D , 321 , 145 , 224 , D , 303 , 15 , D , D , 53 , 507 , 547 , 69 ," 1,613 ",,,,,,,,,,,,,,,,,,,,,
Louisiana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL , 481 , 697 , 70 ," 2,147 ", 83 , 160 , D , 330 , 28 , 164 , D , 207 , 16 , D , D , 88 , 608 ," 1,026 ", 78 ," 2,772 ",,,,,,,,,,,,,,,,,,,,,
Maine,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM , 130 , 81 , 13 , 265 , 23 , 32 , D , 70 , D , 11 , -   , 28 , D , -   , -   , 17 , 162 , 124 , 17 , 380 ,,,,,,,,,,,,,,,,,,,,,
Maryland,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ," 1,794 "," 1,520 ", 144 ," 10,363 ", 313 , 425 , 14 ," 2,129 ", 10 , 33 , D , 301 , 61 , 18 , D , 427 ," 2,178 "," 1,996 ", 166 ," 13,220 ",,,,,,,,,,,,,,,,,,,,,
Massachusetts,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ," 2,096 "," 1,309 ", 264 ," 5,798 ", 360 , 588 , 21 ," 2,165 ", D , 10 , D , 83 , 49 , 18 , D , 200 ," 2,507 "," 1,925 ", 289 ," 8,246 ",,,,,,,,,,,,,,,,,,,,,
, Lawrence , LAW , 678 , 535 , 123 ," 2,372 ", 162 , 252 , D , 808 , D , D , D , 43 , 17 , D , D , 60 , 858 , 796 , 133 ," 3,283 ",,,,,,,,,,,,,,,,,,,,,
Michigan,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ," 1,045 "," 1,010 ", 123 ," 2,348 ", 613 , 895 , 20 ," 2,543 ", 16 , 64 , 10 , 122 , 19 , D , D , 31 ," 1,693 "," 1,976 ", 160 ," 5,044 ",,,,,,,,,,,,,,,,,,,,,
Minnesota,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM , 964 , 604 , 127 ," 5,186 ", 284 , 577 , 12 ," 1,498 ", 14 , 41 , 22 , 284 , 10 , D , D , 96 ," 1,272 "," 1,230 ", 162 ," 7,064 ",,,,,,,,,,,,,,,,,,,,,
Missouri,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN , 524 , 484 , 56 ," 1,201 ", 101 , 193 , D , 449 , 19 , 22 , -   , 82 , D , D , D , 15 , 651 , 706 , 61 ," 1,747 ",,,,,,,,,,,,,,,,,,,,,
, St. Louis  , STL , 292 , 299 , 42 , 904 , 113 , 142 , D , 791 , D , D , D , 46 , D , D , -   , 37 , 413 , 445 , 50 ," 1,778 ",,,,,,,,,,,,,,,,,,,,,
Montana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL , 76 , 384 , 27 , 374 , 15 , 42 , D , 48 , -   , 17 , D , 15 , D , -   , -   , D , 92 , 443 , 36 , 438 ,,,,,,,,,,,,,,,,,,,,,
Nebraska,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
