,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,, Total ,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"92,386","30,721","8,931","441,992","38,177","82,970","5,918","191,190","13,380","25,169","1,584","42,666","8,365","8,797",962,"47,892","152,308","147,657","17,395","723,740",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL , 806 , 233 , 122 ," 3,256 ", 210 , 617 , 38 ," 1,299 ", 27 , 284 , D , 360 , 26 , 31 , D , 151 ," 1,069 "," 1,165 ", 172 ," 5,066 ",,,,,,,,,,,,,,,,,,,
, Newark  , NEW ," 3,487 "," 1,401 ", 413 ," 16,480 "," 1,015 "," 2,398 ", 135 ," 5,457 ", 175 ," 1,278 ", 18 ," 1,252 ", 90 , 124 , 11 , 369 ," 4,767 "," 5,201 ", 577 ," 23,558 ",,,,,,,,,,,,,,,,,,,
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ , 320 , 74 , 13 ," 1,658 ", 72 , 649 , 30 ," 1,069 ", 22 , D , D , 462 , D , D , -   , 85 , 418 , 740 , 44 ," 3,274 ",,,,,,,,,,,,,,,,,,,
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Albany  , ALB , 145 , 127 , 52 , 823 , 96 , 374 , 31 , 558 , 23 , 142 , D , 64 , 24 , 31 , D , 127 , 288 , 674 , 89 ," 1,572 ",,,,,,,,,,,,,,,,,,,
, Brooklyn , BNY ," 2,064 "," 1,114 ", 464 ," 11,395 ", 141 ," 1,049 ", 78 ," 1,367 ", 138 , 336 , 12 , 433 , 146 , 195 , 17 , 574 ," 2,489 "," 2,694 ", 571 ," 13,769 ",,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF , 366 , 105 , 22 ," 1,424 ", 179 , 849 , 33 ," 1,441 ", 153 , 325 , D , 792 , D , 20 , -   , 38 , 700 ," 1,299 ", 64 ," 3,695 ",,,,,,,,,,,,,,,,,,,
, Long Island , LNY ," 1,244 ", 822 , 183 ," 5,347 ", 105 , 738 , 29 ," 1,050 ", 59 , 244 , 12 , 650 , 184 , 250 , D ," 1,348 "," 1,592 "," 2,054 ", 233 ," 8,395 ",,,,,,,,,,,,,,,,,,,
, New York  , NYC ," 2,713 "," 1,737 ", 508 ," 11,315 ", 422 ," 1,387 ", 49 ," 2,394 ", 174 , 773 , 39 , 396 , 265 , 326 , 17 ," 1,011 "," 3,574 "," 4,223 ", 613 ," 15,116 ",,,,,,,,,,,,,,,,,,,
, Queens , QNS ," 2,211 "," 1,137 ", 367 ," 10,107 ", 134 ," 1,222 ", 63 ," 1,579 ", 224 , 963 , 32 , 843 , 152 , 170 , 24 , 651 ," 2,721 "," 3,492 ", 486 ," 13,180 ",,,,,,,,,,,,,,,,,,,
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT , 947 , 223 , 83 ," 4,304 ", 238 , 779 , 43 ," 1,409 ", 63 , 20 , 10 , 63 , 22 , 47 , D , 178 ," 1,270 "," 1,069 ", 143 ," 5,954 ",,,,,,,,,,,,,,,,,,,
, Raleigh , RAL , 907 , 271 , 75 ," 4,642 ", 395 , 515 , 48 ," 1,744 ", 63 , 21 , -   , 52 , 21 , 32 , D , 159 ," 1,386 ", 839 , 129 ," 6,597 ",,,,,,,,,,,,,,,,,,,
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN , 293 , 127 , 32 ," 1,225 ", 136 , 612 , 43 ," 1,010 ", 45 , 420 , 17 , 83 , D , 21 , D , 152 , 480 ," 1,180 ", 93 ," 2,470 ",,,,,,,,,,,,,,,,,,,
, Cleveland  , CLE , 365 , 178 , 34 ," 1,613 ", 111 , 729 , 22 ," 1,128 ", 27 , 267 , 12 , 155 , D , D , -   , 44 , 509 ," 1,183 ", 68 ," 2,940 ",,,,,,,,,,,,,,,,,,,
, Columbus , CLM , 369 , 177 , 44 ," 1,668 ", 162 , 857 , 17 ," 1,379 ", 59 , 296 , D , 134 , D , 12 , D , 53 , 597 ," 1,342 ", 70 ," 3,234 ",,,,,,,,,,,,,,,,,,,
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC , 629 , 165 , 42 ," 2,793 ", 140 , 464 , D , 827 , 49 , 10 , D , 57 , 11 , 11 , D , 53 , 829 , 650 , 58 ," 3,730 ",,,,,,,,,,,,,,,,,,,
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
