Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,
"January 1, 2023 - March 31, 2023",,,,,,,,,,,,,,,,,,,,,,
,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,, Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,, Total ,,,
 USCIS Field Office or Service Center Location ,,,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8
 Total ,,,"95,800","97,768","6,537","489,835","34,584","33,932","3,528","202,006","34,705","20,115","1,456","113,922","9,879","7,682",668,"46,165","174,968","159,497","12,189","851,928"
, Helena  , HEL ,69,122, D ,257,17,21, D ,29, -   , D , -   ,41, D , -   , D ,12,95,151, D ,339
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Omaha  , OMA ,"1,642",558,94,"1,530",185,181,29,485,540,"1,967",28,759,13, D , -   ,274,"2,380","2,710",151,"3,048"
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Las Vegas  , LVG ,849,468,53,"3,968",57,132,12,317,521,153,23,"1,305",16, D , -   ,60,"1,443",754,88,"5,650"
, Reno  , REN ,882,898,48,"1,257",237,93,12,109,136, D , -   ,83,58,20, D ,22,"1,313","1,016",61,"1,471"
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Manchester  , MAN ,173,137, D ,"1,007",31,132,20,484,35,24, D ,291, D ,11, -   , D ,242,304,31,"1,791"
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Mount Laurel , MTL ,822,788,71,"3,915",94,219,28,"1,555",70,102,11,343,10, D , -   ,44,996,"1,113",110,"5,857"
