Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,
"January 1, 2023 - March 31, 2023",,,,,,,,,,,,,,
,,,           Applications by Category and Case Status ,,,,,,,,,,,
,,,               Naturalization1,,,,   Naturalization (Military)1,,,,                    Total ,,,
 USCIS Field Office Location ,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 TOTAL ,,,"217,159","214,040","27,065","452,018","3,323","2,987",396,"6,858","220,482","217,027","27,461","458,876"
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
, New York  , NYC ,"6,685","6,970","1,241","11,869",54,49, D ,64,"6,739","7,019","1,244","11,933"
, Queens , QNS ,"5,635","5,358","1,471","13,947",48,67,10,48,"5,683","5,425","1,481","13,995"
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte  , CLT ,"2,378","2,150",204,"7,400",30,11, D ,27,"2,408","2,161",207,"7,427"
, Raleigh , RAL ,"2,015","1,978",116,"6,231",135,176,26,210,"2,150","2,154",142,"6,441"
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Cincinnati  , CIN ,969,938,92,"1,528",17, D , -   ,20,986,944,92,"1,548"
, Cleveland  , CLE ,"1,237",925,86,"1,809",13, D , -   ,21,"1,250",934,86,"1,830"
, Columbus , CLM ,"1,581","2,014",228,"3,029",15,22, D ,44,"1,596","2,036",229,"3,073"
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Oklahoma City  , OKC ,"1,248","1,319",181,"2,025",36,26, D ,93,"1,284","1,345",185,"2,118"
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POO ,"2,009","2,161",171,"3,598",14,13, D ,24,"2,023","2,174",176,"3,622"
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Philadelphia , PHI ,"6,203","6,075",847,"10,979",64,62, D ,101,"6,267","6,137",854,"11,080"
, Pittsburgh  , PIT ,808,649,80,"1,117",12, D , -   ,16,820,655,80,"1,133"
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Providence  , PRO ,825,753,105,"1,622", D , D , D ,17,828,757,106,"1,639"
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHL ,748,450,65,"2,326",56,69,10,148,804,519,75,"2,474"
, Greer , GRR ,634,762,66,"1,065",47,24, D ,172,681,786,67,"1,237"
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Memphis  , MEM ,677,605,51,"1,648",12,16, -   ,17,689,621,51,"1,665"
