Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,
"July 1, 2023 - September 30, 2023",,,,,,,,,,,,,
,,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status
USCIS Field Office Location,USCIS Field Office Location,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1, Total , Total , Total , Total 
Field Office by State6,Field Office Code,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
5 The number of applications awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; ,,,,,,,,,,,,,
   thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,
6 Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,
2) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,,,,
3) These counts do not include international offices.,,,,,,,,,,,,,
"4) Many USCIS international offices have permanently closed in the last two years; for a list of those offices, please see https://www.uscis.gov/about-us/uscis-office-closings",,,,,,,,,,,,,
5) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,
"PASEXEC, queried 11/2023, TRK 13216",,,,,,,,,,,,,
