Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,
"July 1, 2023 - September 30, 2023",,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Applications by Category of Admission and Case Status,,,,,,,,,,,,,,,,Total,,,
,,Family-based1,,,,Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,,,,,
Field Office by State9,Field Office Code,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6, Denied7, Pending8
Raleigh,RAL,974,93,37,"5,358",149,80,13,"2,265",234,10, - ,643,57,44, - ,199,"1,414",227,50,"8,465"
Ohio,,,,,,,,,,,,,,,,,,,,,
Cincinnati ,CIN,354,608,50,"1,447",47,382,21,753,135,710,19,731,11,19, D ,32,547,"1,719",93,"2,963"
Cleveland ,CLE,433,595,44,"1,629",61,412,31,"1,070",189,636,38,764,130,25, D ,198,813,"1,668",115,"3,661"
Columbus,CLM,487,681,52,"1,802",54,389,11,"1,270",195,852,34,954,48,22, D ,154,784,"1,944",99,"4,180"
Oklahoma,,,,,,,,,,,,,,,,,,,,,
Oklahoma City ,OKC,759,571,47,"2,836",48,69,21,379,224, D ,17,619,224,54, - ,727,"1,255",699,85,"4,561"
Oregon,,,,,,,,,,,,,,,,,,,,,
Portland ,POO,811,937,49,"3,420",133,348,24,"1,351",389,557,13,"1,607",33,37, D ,139,"1,366","1,879",91,"6,517"
Pennsylvania,,,,,,,,,,,,,,,,,,,,,
Philadelphia,PHI,"2,365","1,197",228,"8,314",212,331,37,"2,817",666,626,33,"2,130",21,46,20,181,"3,264","2,200",318,"13,442"
Pittsburgh ,PIT,301,493,24,"1,224",82,317,26,818,109,392, D ,662,16,81, D ,85,508,"1,283",60,"2,789"
