,,,,,,,,,,,,,,,,
Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,           Applications by Category and Case Status ,,,,,,,,,
,,,,               Naturalization1,,,,   Naturalization (Military)1,,,,                    Total ,,,,
 USCIS Field Office Location ,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,
,,,,,,,,,,,,,,,,
 TOTAL ,,," 196,952 "," 245,528 "," 26,371 "," 666,473 "," 2,432 "," 2,531 ", 203 ," 6,312 "," 199,384 "," 248,059 "," 26,574 "," 672,785 ",,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Albany  , ALB , 932 , 770 , 134 ," 3,177 ", D , D , D , 22 , 940 , 774 , 135 ," 3,199 ",,
, Brooklyn , BNY ," 5,119 "," 4,238 ", 992 ," 16,384 ", 24 , 28 , D , 64 ," 5,143 "," 4,266 ", 995 ," 16,448 ",,
, Buffalo  , BUF ," 1,617 "," 1,850 ", 265 ," 4,320 ", 43 , 67 , 13 , 116 ," 1,660 "," 1,917 ", 278 ," 4,436 ",,
, Long Island , LNY ," 2,827 "," 5,260 ", 495 ," 10,486 ", 22 , 26 , D , 60 ," 2,849 "," 5,286 ", 497 ," 10,546 ",,
, New York  , NYC ," 5,872 "," 7,271 "," 1,004 "," 16,779 ", 29 , 29 , D , 73 ," 5,901 "," 7,300 "," 1,007 "," 16,852 ",,
, Queens , QNS ," 5,296 "," 6,669 ", 923 ," 21,709 ", 48 , 35 , D , 105 ," 5,344 "," 6,704 ", 926 ," 21,814 ",,
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Charlotte  , CLT ," 1,936 "," 1,779 ", 196 ," 8,237 ", D , 10 , D , 32 ," 1,945 "," 1,789 ", 198 ," 8,269 ",,
, Raleigh , RAL ," 1,641 "," 1,192 ", 79 ," 7,024 ", 84 , 105 , D , 299 ," 1,725 "," 1,297 ", 86 ," 7,323 ",,
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Cincinnati  , CIN , 877 , 866 , 110 ," 2,607 ", D , D , D , 22 , 885 , 875 , 111 ," 2,629 ",,
, Cleveland  , CLE ," 1,036 "," 1,077 ", 128 ," 2,827 ", 14 , D , -   , 27 ," 1,050 "," 1,081 ", 128 ," 2,854 ",,
, Columbus , CLM ," 1,612 "," 1,337 ", 221 ," 5,821 ", 15 , D , D , 51 ," 1,627 "," 1,346 ", 222 ," 5,872 ",,
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Oklahoma City  , OKC ," 1,125 "," 1,228 ", 199 ," 3,576 ", 24 , 25 , D , 54 ," 1,149 "," 1,253 ", 202 ," 3,630 ",,
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Portland  , POO ," 1,789 "," 3,068 ", 114 ," 7,497 ", 13 , 10 , D , 29 ," 1,802 "," 3,078 ", 115 ," 7,526 ",,
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Philadelphia , PHI ," 5,474 "," 6,430 ", 607 ," 15,419 ", 44 , 41 , D , 75 ," 5,518 "," 6,471 ", 610 ," 15,494 ",,
, Pittsburgh  , PIT , 718 ," 1,170 ", 116 ," 1,780 ", D , 10 , D , 10 , 719 ," 1,180 ", 117 ," 1,790 ",,
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Providence  , PRO , 768 , 594 , 122 ," 2,195 ", D , 10 , -   , 12 , 774 , 604 , 122 ," 2,207 ",,
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Charleston  , CHL , 700 , 712 , 89 ," 2,234 ", 56 , 17 , D , 184 , 756 , 729 , 93 ," 2,418 ",,
, Greer , GRR , 474 , 839 , 50 ," 2,082 ", D , D , -   , 10 , 477 , 843 , 50 ," 2,092 ",,
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Memphis  , MEM , 611 , 893 , 83 ," 1,555 ", D , D , D , 16 , 618 , 899 , 85 ," 1,571 ",,
, Nashville , NTN ," 1,307 "," 1,259 ", 217 ," 5,100 ", 20 , 27 , D , 66 ," 1,327 "," 1,286 ", 219 ," 5,166 ",,
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Dallas  , DAL ," 6,757 "," 6,353 ", 697 ," 28,778 ", 49 , 58 , 10 , 115 ," 6,806 "," 6,411 ", 707 ," 28,893 ",,
, El Paso  , ELP ," 1,110 ", 967 , 105 ," 3,920 ", 47 , 70 , D , 179 ," 1,157 "," 1,037 ", 107 ," 4,099 ",,
, Harlingen  , HLG , 822 ," 1,329 ", 93 ," 2,252 ", D , D , -   , 15 , 828 ," 1,331 ", 93 ," 2,267 ",,
, Houston  , HOU ," 7,319 "," 11,288 ", 994 ," 28,647 ", 46 , 36 , D , 99 ," 7,365 "," 11,324 ", 999 ," 28,746 ",,
, San Antonio  , SNA ," 3,697 "," 4,267 ", 371 ," 11,262 ", 164 , 180 , D , 383 ," 3,861 "," 4,447 ", 380 ," 11,645 ",,
 Utah ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Salt Lake City  , SLC ," 1,139 "," 1,071 ", 156 ," 5,017 ", D , 22 , D , 26 ," 1,148 "," 1,093 ", 157 ," 5,043 ",,
 Vermont ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, St. Albans  , STA , 163 , 162 , D , 613 , -   , D , -   , D , 163 , 163 , D , 614 ,,
 Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Norfolk  , NOR ," 1,227 "," 1,480 ", 218 ," 4,035 ", 247 , 202 , 11 , 569 ," 1,474 "," 1,682 ", 229 ," 4,604 ",,
 Washington ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Seattle  , SEA ," 4,128 "," 6,561 ", 267 ," 20,616 ", 83 , 66 , D , 317 ," 4,211 "," 6,627 ", 271 ," 20,933 ",,
, Spokane  , SPO , 214 , 350 , 39 , 476 , D , D , -   , D , 216 , 354 , 39 , 480 ,,
, Yakima , YAK , 369 , 671 , 71 ," 1,970 ", -   , D , -   , D , 369 , 672 , 71 ," 1,972 ",,
 West Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Charleston  , CHS , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 Wisconsin ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Milwaukee  , MIL ," 1,161 "," 1,706 ", 128 ," 2,937 ", D , D , D , 15 ," 1,167 "," 1,707 ", 129 ," 2,952 ",,
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
 Guam ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Agana , AGA , 226 , 333 , 14 , 645 , D , 174 , D , 44 , 229 , 507 , 15 , 689 ,,
 U.S. Virgin Islands ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Charlotte Amalie , CHA , 72 , 39 , 13 , 359 , -   , -   , -   , D , 72 , 39 , 13 , 365 ,,
, Christiansted  , CHR , 26 , -   , -   , 82 , -   , -   , -   , -   , 26 , -   , -   , 82 ,,
 Puerto Rico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, San Juan  , SAJ , 332 , 384 , 76 , 976 , D , D , -   , D , 333 , 388 , 76 , 978 ,,
Table Key:,,,,,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,
"1 ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations, are included in ""Naturalization."" Total includes both general and military naturalization.",,,,,,,,,,,,,,,,
2 The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,
3 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,
4 The number of applications denied during the reporting period.,,,,,,,,,,,,,,,,
5 The number of applications awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus the total pending ,,,,,,,,,,,,,,,,
counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,,,,
6 Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,,,,,,,
3) These counts do not include international offices.,,,,,,,,,,,,,,,,
"4) Many USCIS international offices have permanently closed in the last two years; for a list of those offices, please see https://www.uscis.gov/about-us/uscis-office-closings",,,,,,,,,,,,,,,,
5) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,
"PRT, queried 07/2022, TRK 10072",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
