Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,
"April 1, 2023 - June 30, 2023",,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Applications by Category of Admission and Case Status,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based received at service center2,Employment-based received at service center2,Employment-based received at service center2,Employment-based received at service center2,Humanitarian-based3,Humanitarian-based3,Humanitarian-based3,Humanitarian-based3,Others4,Others4,Others4,Others4,Total,Total,Total,Total
Field Office by State9,Field Office Code,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6, Denied7, Pending8
Baltimore ,BAL,"2,052","1,455",130,"11,088",300,163,39,"3,152",718,94,D,"2,357",78,135,D,721,"3,148","1,847",184,"17,318"
Massachusetts,,,,,,,,,,,,,,,,,,,,,
Boston ,BOS,"1,842","2,178",205,"6,827",404,483,42,"3,062",275,228,D,"1,180",33,52,D,109,"2,554","2,941",256,"11,178"
Lawrence,LAW,894,989,70,"3,274",142,234,23,"1,510",156,251,D,598,138,18,D,184,"1,330","1,492",103,"5,566"
Michigan,,,,,,,,,,,,,,,,,,,,,
Detroit ,DET,"1,099","2,102",76,"4,306",295,267,33,"2,476",622,63,D,"1,649",174,46,D,333,"2,190","2,478",114,"8,764"
Minnesota,,,,,,,,,,,,,,,,,,,,,
St. Paul ,SPM,905,441,57,"3,206",134,689,59,"3,070",322,28,D,"1,235",55,82,D,327,"1,416","1,240",129,"7,838"
Missouri,,,,,,,,,,,,,,,,,,,,,
Kansas City ,KAN,541,569,36,"3,349",80,96,D,"1,129",272,95,10,647,45,45,-,145,938,805,50,"5,270"
St. Louis ,STL,370,339,23,"1,045",98,44,D,"1,334",113,13,D,374,90,D,-,249,671,401,30,"3,002"
Montana,,,,,,,,,,,,,,,,,,,,,
Helena ,HEL,72,53,D,262,D,D,-,27,15,D,D,22,D,D,-,D,94,65,D,319
Nebraska,,,,,,,,,,,,,,,,,,,,,
Omaha ,OMA,328,386,38,"1,451",65,39,13,450,564,107,16,971,202,159,D,311,"1,159",691,71,"3,183"
Nevada,,,,,,,,,,,,,,,,,,,,,
Las Vegas ,LVG,992,790,81,"4,096",49,24,12,335,"1,553",213,27,"2,499",12,10,D,50,"2,606","1,037",122,"6,980"
Reno ,REN,213,478,14,"1,364",10,15,D,105,29,18,D,76,-,11,-,D,252,522,22,"1,554"
New Hampshire,,,,,,,,,,,,,,,,,,,,,
Manchester ,MAN,189,327,20,680,17,71,D,561,41,81,D,374,D,D,-,D,250,487,27,"1,618"
New Jersey,,,,,,,,,,,,,,,,,,,,,
Mount Laurel,MTL,838,"1,044",111,"3,591",92,202,17,"1,394",102,34,D,303,D,10,D,37,"1,041","1,290",140,"5,325"
Newark ,NEW,"2,658","3,228",315,"11,136",358,340,53,"2,762",828,212,38,"2,140",45,32,D,169,"3,889","3,812",411,"16,207"
New Jersey Central,NJC,"1,176",198,54,"3,233",170,98,D,"3,664",219,D,D,423,D,D,-,16,"1,570",309,64,"7,336"
New Mexico,,,,,,,,,,,,,,,,,,,,,
Albuquerque ,ABQ,360,772,21,"1,592",35,182,D,834,67,114,D,377,29,D,-,47,491,"1,077",25,"2,850"
New York,,,,,,,,,,,,,,,,,,,,,
Albany ,ALB,405,299,37,"1,438",47,142,D,611,117,76,D,423,36,D,D,74,605,522,46,"2,546"
Brooklyn,BNY,"2,366","2,125",255,"10,982",206,189,51,"1,108",914,184,18,"2,514",26,23,14,142,"3,512","2,521",338,"14,746"
Buffalo ,BUF,379,694,38,"1,446",121,242,D,703,428,196,10,"1,763",86,12,14,301,"1,014","1,144",68,"4,213"
Long Island,LNY,"1,474","1,636",121,"5,826",260,276,60,"1,389",305,64,13,877,-,D,D,36,"2,039","1,984",196,"8,128"
New York ,NYC,"2,956","3,209",448,"12,553",486,393,59,"2,431",683,106,11,"2,097",13,24,D,270,"4,138","3,732",523,"17,351"
Queens,QNS,"2,600","1,747",368,"11,265",191,255,33,"1,109","1,170",256,42,"3,072",D,14,12,175,"3,969","2,272",455,"15,621"
North Carolina,,,,,,,,,,,,,,,,,,,,,
