,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
January 1 - March 31, 2018  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"78,947","68,869","10,410","344,976","30,908","28,336","2,593","162,675","47,211","48,497","1,299","138,599","6,946","6,306","1,062","36,369","164,012","152,008","15,364","682,619",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM ,209 ,188 ,25 ,833 ,-,63 ,D,206 ,21 ,16 ,D,110 ,D,D,D,19 ,232 ,271 ,32 ,"1,168 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Kansas ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC ,143 ,307 ,D,612 ,-,D,-,41 ,28 ,114 ,D,91 ,D,-,-,D,173 ,428 ,12 ,750 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Kentucky ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU ,290 ,253 ,60 ,935 ,D,56 ,D,219 ,486 ,816 ,31 ,596 ,D,24 ,D,63 ,784 ,"1,149 ",99 ,"1,813 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Louisiana ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL ,438 ,301 ,78 ,"2,325 ",-,135 ,D,284 ,76 ,106 ,12 ,396 ,10 ,25 ,D,101 ,524 ,567 ,96 ,"3,106 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Maine ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM ,90 ,143 ,D,224 ,D,26 ,-,31 ,-,D,D,22 ,D,-,-,D,95 ,178 ,D,284 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Maryland ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ,"1,731 ","1,591 ",162 ,"9,060 ",D,196 ,D,"1,329 ",25 ,32 ,D,263 ,43 ,39 ,D,492 ,"1,807 ","1,858 ",178 ,"11,144 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Massachusetts ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ,"1,742 ","1,214 ",230 ,"6,119 ",D,454 ,18 ,"1,260 ",11 ,21 ,D,72 ,28 ,25 ,13 ,212 ,"1,789 ","1,714 ",268 ,"7,663 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Lawrence , LAW ,672 ,419 ,93 ,"1,902 ",D,117 ,D,343 ,D,22 ,D,37 ,21 ,26 ,D,82 ,703 ,584 ,106 ,"2,364 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Michigan ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ,945 ,971 ,108 ,"2,278 ",D,355 ,13 ,"1,142 ",99 ,132 ,D,192 ,14 ,35 ,D,21 ,"1,061 ","1,493 ",129 ,"3,633 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Minnesota ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
